State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
45,7.20,6.90,5.70,5.00,6.70,8.10,11.10,9.90,6.90,6.90,6.40,5.50,4.70,4.60,4.80,6.10,6.70,7.30,6.20,5.20,5.80,4.60,3.80,4.30,3.80,5.20,5.80,6.90,6.80,6.70,6.40,5.70,6.80,11.20,11.20
46,3.30,3.30,3.10,3.40,4.80,5.00,5.50,5.20,4.40,4.80,4.60,4.20,4.10,4.00,3.80,3.50,3.30,3.40,3.30,3.00,3.20,2.90,2.80,2.70,2.50,3.10,3.20,3.50,3.70,3.80,3.10,2.80,3.10,4.90,5.00
47,6.10,6.20,5.80,5.80,7.40,9.00,11.70,11.50,8.50,7.90,7.90,6.60,5.80,5.10,5.30,6.80,6.50,5.80,4.80,5.20,5.20,5.30,4.30,4.00,3.90,4.60,5.20,5.60,5.30,5.60,5.20,4.70,6.60,10.50,9.70
48,5.80,5.30,4.80,4.30,5.10,5.30,6.90,7.90,6.10,7.00,8.80,8.40,7.30,6.70,6.30,6.90,7.60,7.20,6.50,6.10,5.70,5.30,4.90,4.70,4.30,5.00,6.40,6.70,5.90,5.40,4.90,4.30,4.80,7.60,8.10
49,5.60,5.10,3.80,4.30,6.20,6.60,8.20,8.70,6.50,6.00,6.10,6.20,5.00,4.50,4.40,4.70,4.80,4.10,3.80,3.50,3.40,3.20,3.60,3.50,3.30,4.40,5.80,5.60,5.00,4.10,3.00,2.60,3.60,7.30,7.80
50,8.30,7.00,5.60,5.10,6.20,5.80,7.00,6.40,5.10,4.80,4.30,3.60,3.00,3.50,5.00,6.60,6.10,5.20,4.60,4.30,4.30,3.90,3.40,3.00,2.80,3.30,4.00,4.30,3.70,3.50,3.70,4.00,4.70,6.60,6.10
51,5.90,5.50,5.30,4.70,5.20,6.00,7.40,6.40,5.10,5.50,5.00,4.30,3.90,3.90,4.50,5.90,6.30,5.20,4.90,4.50,4.40,3.80,2.90,2.70,2.30,3.20,4.20,4.10,3.80,3.60,3.10,3.00,3.90,6.70,7.10
53,8.90,8.50,6.90,6.60,8.10,9.60,11.90,11.10,9.30,8.40,8.10,7.30,6.30,5.90,5.20,6.30,7.30,7.30,6.60,6.40,6.10,4.90,4.80,4.90,5.20,6.30,7.40,7.40,6.30,5.60,5.00,4.70,5.40,9.20,10.00
54,7.30,6.90,6.20,6.90,9.50,10.60,14.00,17.80,14.80,13.10,11.80,10.80,9.80,8.60,8.50,10.60,11.30,10.60,8.80,7.90,7.50,6.90,6.60,6.50,5.50,5.00,5.90,6.00,5.30,5.10,4.90,4.60,4.30,7.70,8.70
55,5.50,5.10,5.00,4.60,7.20,8.00,10.50,10.20,7.40,7.20,7.00,5.90,4.40,4.30,4.40,5.50,5.10,4.80,4.50,3.80,3.60,3.60,3.40,3.10,3.50,4.50,5.40,5.70,5.00,4.70,4.70,4.90,4.90,8.60,8.70
56,4.00,3.40,3.00,2.70,3.90,4.10,6.20,8.20,6.30,6.90,8.90,8.00,6.50,6.10,5.30,5.20,5.60,5.30,5.00,4.80,4.90,4.80,4.70,4.60,3.90,3.80,4.00,4.30,3.80,3.60,3.20,2.80,3.10,6.30,6.40
