Year,State,Winner,Type[i],#C[ii],$Spent Actual,$Spent 2001$,CPV 2001,,,
1988,MO,R +29,IW,4,"4,292,387",6445026.00,3.12,,,
1992,MO,D +18,O,12,"13,834,134",17511562.00,7.47,,,
1996,MO,D +17,IW,9,"4,898,361",5643273.00,2.64,,,
1979,MS,D +22,O,8,"2,736,985",6691895.00,9.88,,,
1983,MS,D +16,O,9,"4,798,659",8553759.00,11.66,,,
1987,MS,D +22,O,10,"8,702,740",13598031.00,18.84,,,
1991,MS,R +  3,IL,7,"5,238,205",6829472.00,9.71,,,
1995,MS,R +10,IW,5,"5,548,693",6459480.00,8,,,
1999,MS,D +  1,O,11,"8,229,847",8764481.00,11.47,,,
1900,MT,R +  4,O,6,"4,608,746",4702802.00,11.46,,,
1976,MT,D +26,IW,2,"473,435",1474875.00,4.74,,,
1980,MT,D +10,IL,7,"1,662,077",3582063.00,9.94,,,
1986,MT,D +45,IW,4,"482,113",824125.00,2.18,,,
1988,MT,R +  6,O,10,"3,225,864",4843640.00,13.46,,,
1992,MT,R +  2,O,8,"2,657,748",3364238.00,8.25,,,
1996,MT,R +60,IW,5,"1,003,163",1155718.00,3.38,,,
1900,NC,D +  6,O,14,"28,179,601",28754695.00,9.77,,,
1968,NC,D +  6,O,5,"572,624",2921551.00,1.87,,,
1972,NC,R +  8,O,12,"2,608,104",11098315.00,7.42,,,
1976,NC,D +32,O,7,"4,415,410",13755171.00,8.36,,,
1980,NC,D +25,IW,7,"3,818,190",8228858.00,4.46,,,
1984,NC,R +  9,O,14,"14,048,311",24014297.00,10.8,,,
1988,NC,R +12,IW,6,"12,513,722",18789372.00,8.62,,,
1992,NC,D +10,O,9,"13,353,473",16903130.00,6.51,,,
1996,NC,D +13,IW,9,"18,021,728",20762359.00,8.09,,,
1900,ND,R +10,O,4,"2,309,705",2356842.00,8.12,,,
1980,ND,R +  8,IL,3,"365,000",786638.00,2.6,,,
1984,ND,D +10,IL,5,"635,000",1085470.00,3.45,,,
1988,ND,D +20,IW,2,"673,000",1010511.00,3.38,,,
1992,ND,R +17,O,8,"762,322",964965.00,3.21,,,
1996,ND,R +32,IW,2,"1,200,000",1382488.00,5.25,,,
1978,NE,R +12,O,7,"974,783",2656084.00,5.4,,,
1982,NE,D +  2,IL,5,"2,131,916",3918963.00,7.16,,,
1986,NE,R +  6,O,15,"4,211,388",6825588.00,12.11,,,
1990,NE,D +  1,IL,9,"5,364,814",7289149.00,12.43,,,
1994,NE,D +48,IW,8,"2,499,719",2993675.00,5.17,,,
1998,NE,R +  8,O,9,"8,512,062",9222169.00,16.93,,,
1900,NH,D +  5,IW,9,"4,584,903",4678472.00,8.29,,,
1978,NH,D +  4,IL,8,"522,700",1424251.00,5.31,,,
